Token: LPAREN, Valor: (, Linea: 48
Token: VARIABLE, Valor: $tipo, Linea: 48
Token: COMMA, Valor: ,, Linea: 48
Token: VARIABLE, Valor: $num1, Linea: 48
Token: COMMA, Valor: ,, Linea: 48
Token: VARIABLE, Valor: $num2, Linea: 48
Token: RPAREN, Valor: ), Linea: 48
Token: LBRACE, Valor: {, Linea: 48
Token: IF, Valor: if, Linea: 49
Token: LPAREN, Valor: (, Linea: 49
Token: NOT, Valor: !, Linea: 49
Token: ID, Valor: array_key_exists, Linea: 49
Token: LPAREN, Valor: (, Linea: 49
Token: VARIABLE, Valor: $tipo, Linea: 49
Token: COMMA, Valor: ,, Linea: 49
Token: ID, Valor: self, Linea: 49
Token: DOUBLEDOT, Valor: :, Linea: 49
Token: DOUBLEDOT, Valor: :, Linea: 49
Token: ID, Valor: OPERACIONES, Linea: 49
Token: RPAREN, Valor: ), Linea: 49
Token: RPAREN, Valor: ), Linea: 49
Token: LBRACE, Valor: {, Linea: 49
Token: THROW, Valor: throw, Linea: 50
Token: NEW, Valor: new, Linea: 50
Token: ID, Valor: Exception, Linea: 50
Token: LPAREN, Valor: (, Linea: 50
Token: STRING, Valor: Error: Operación no soportada., Linea: 50
Token: RPAREN, Valor: ), Linea: 50
Token: SEMICOLON, Valor: ;, Linea: 50
Token: RBRACE, Valor: }, Linea: 51
Token: VARIABLE, Valor: $operacionClase, Linea: 54
Token: EQUALS, Valor: =, Linea: 54
Token: ID, Valor: self, Linea: 54
Token: DOUBLEDOT, Valor: :, Linea: 54
Token: DOUBLEDOT, Valor: :, Linea: 54
Token: ID, Valor: OPERACIONES, Linea: 54
Token: LBRACKET, Valor: [, Linea: 54
Token: VARIABLE, Valor: $tipo, Linea: 54
Token: RBRACKET, Valor: ], Linea: 54
Token: SEMICOLON, Valor: ;, Linea: 54
Token: VARIABLE, Valor: $operacion, Linea: 55
Token: EQUALS, Valor: =, Linea: 55
Token: NEW, Valor: new, Linea: 55
Token: VARIABLE, Valor: $operacionClase, Linea: 55
Token: LPAREN, Valor: (, Linea: 55
Token: RPAREN, Valor: ), Linea: 55
